(0,1)
(5,0.996195)
(10,0.984808)
(15,0.965926)
(20,0.939693)
(25,0.906308)
(30,0.866026)
(35,0.819152)
(40,0.766045)
(45,0.707107)
(50,0.642788)
(55,0.573577)
(60,0.500001)
(65,0.422619)
(70,0.342021)
(75,0.25882)
(80,0.173649)
(85,0.087157)
(90,0)
(95,-0.0871543)
(100,-0.173647)
(105,-0.258818)
(110,-0.342019)
(115,-0.422617)
(120,-0.499998)
(125,-0.573575)
(130,-0.642786)
(135,-0.707105)
(140,-0.766043)
(145,-0.819151)
(150,-0.866024)
(155,-0.906307)
(160,-0.939692)
(165,-0.965925)
(170,-0.984807)
(175,-0.996194)
(180,-1)
(185,-0.996195)
(190,-0.984808)
(195,-0.965927)
(200,-0.939694)
(205,-0.906309)
(210,-0.866027)
(215,-0.819154)
(220,-0.766047)
(225,-0.707109)
(230,-0.64279)
(235,-0.573579)
(240,-0.500003)
(245,-0.422622)
(250,-0.342024)
(255,-0.258823)
(260,-0.173652)
(265,-0.0871596)
(270,0)
(275,0.0871517)
(280,0.173644)
(285,0.258815)
(290,0.342016)
(295,0.422614)
(300,0.499996)
(305,0.573573)
(310,0.642784)
(315,0.707103)
(320,0.766041)
(325,0.819149)
(330,0.866023)
(335,0.906306)
(340,0.939691)
(345,0.965925)
(350,0.984807)
(355,0.996194)
