(0,0)
(5,0.0871557)
(10,0.173648)
(15,0.258819)
(20,0.34202)
(25,0.422618)
(30,0.5)
(35,0.573576)
(40,0.642787)
(45,0.707106)
(50,0.766044)
(55,0.819152)
(60,0.866025)
(65,0.906307)
(70,0.939692)
(75,0.965926)
(80,0.984808)
(85,0.996195)
(90,1)
(95,0.996195)
(100,0.984808)
(105,0.965926)
(110,0.939693)
(115,0.906309)
(120,0.866026)
(125,0.819153)
(130,0.766046)
(135,0.707108)
(140,0.642789)
(145,0.573578)
(150,0.500002)
(155,0.42262)
(160,0.342022)
(165,0.258821)
(170,0.173651)
(175,0.0871583)
(180,0)
(185,-0.087153)
(190,-0.173645)
(195,-0.258816)
(200,-0.342017)
(205,-0.422616)
(210,-0.499997)
(215,-0.573574)
(220,-0.642785)
(225,-0.707104)
(230,-0.766042)
(235,-0.81915)
(240,-0.866024)
(245,-0.906306)
(250,-0.939691)
(255,-0.965925)
(260,-0.984807)
(265,-0.996194)
(270,-1)
(275,-0.996195)
(280,-0.984808)
(285,-0.965927)
(290,-0.939694)
(295,-0.90631)
(300,-0.866028)
(305,-0.819155)
(310,-0.766047)
(315,-0.70711)
(320,-0.642791)
(325,-0.57358)
(330,-0.500004)
(335,-0.422623)
(340,-0.342025)
(345,-0.258824)
(350,-0.173653)
(355,-0.087161)
